type,chapter,section_title,title,text,image,category,accent
item,6,,,"金春粉（キム・チュンブン）遺族：
…その時に朝鮮のおばさんたちが、事故の碑に坑内からネズミがどんどん上がってきていたといっていました。事故が起こるとき、必ずねずみが大量に移動するらしいのですが、それを聞いてみんなが今日は坑内に入らない、様子がおかしいのでいかないというと、労務係の柴田キヨシという名前だったと思うのですが、その人は体格のいい、いつも木剣を持って歩き、仕事をさぼる人をその木剣で威嚇して仕事に出すような人でした。その彼が「何をばからしいことを言っているんだ！何がねずみだ！」と怒鳴って坑内に行かせたらしいのです。
　だからこの柴田を殺すっていうんで、朝鮮のおばちゃんたちがチマ（スカート）に斧を隠して、彼を探して歩いているのをこの目で見たんです。…
（証言集１）",,,#7c5cff
item,6,,,"その一方で、翌２月４日、四誌で事故についての報道がなされた。
朝日新聞（東京）では２００余名が生死不明としている一方で、同新聞社の山口版では「大半は救い出された」とある。
地元での混乱をおさめるための意図的な偏向報道と思われますが、混乱をおさめるために特攻や憲兵も出動しました。",images/報道.jpg,,#7c5cff
,,,,,,,
intro,7,,事故後,～放置と忘却～,,,#f59e0b
item,7,,,"事故後の会社の対応としては水没事故に対する弔慰金は日本人は３００円から５０００円、朝鮮人は３０円でありました。
証言集によれば、事故後の遺族の方々が非常に困窮した生活をしていたことがうかがえます。
また、西光寺には事故後に遺族の怒りをおさめるために会社が一夜で作ったといわれる位牌が残っています。",images/西光寺位牌.jpg,,#f59e0b
item,7,,,"地元有志によって追悼碑がたてられたが、その碑文では死者の７割が朝鮮人であるということはわからないものでした。この碑を建立した人々は当時はみんな日本人で、差別などなかった、みんな自分の意志でやってきており強制連行ではなかったといっています。
このように「差別はなかった」「みんな仲間で一丸となって一緒に頑張った」というような形で強制性をごまかす形は、軍艦島（端島）で日本政府や右派が用いる主張と同様です。",images/殉難の碑.jpg,,
item,7,,,"沖のピーヤの水はぴたりと止った
四十年を迎えた現在でも、一八三名の炭鉱の男達は海底に眠っている
永遠に眠れ　安らかに眠れ　炭鉱の男達よ",images/殉難碑文.jpg,,
intro,8,,水非常を歴史に刻む会の発足と取組み,,,,#f59e0b
item,8,,,"1991年に「長生炭鉱の”水非常”を歴史に刻む会」を結成が結成され、以下の目標が掲げられた。
①犠牲者全員の名前を刻んだ追悼碑の建立
②ピーヤの保存
③証言、資料の収集と編纂
結成以来毎年、事故の日にあわせて韓国から犠牲者遺族を招いて追悼集会を開催してきている。",images/水非常を歴史に刻む会.jpg,,#f59e0b
item,8,,,追悼碑の建造に向けて、手がかりとなる遺族を探すため、戦前の殉職者名簿を元に韓国に118通の手紙を送った。17通の返信があり、その手紙によって初めて犠牲者の消息を知ったという反応もあった。その後、韓国でも遺族会が立ち上がった。,,,#f59e0b
